"Story","Title","Result","Date","Stability","Duration (s)"
"Categories test","Create and Verify if the categories was added to the application","SUCCESS","2021-07-21T18:06:05.621+01:00[Europe/London]","0.0","7.5"
"Products test","Create and Verify if the products was added to the application","SUCCESS","2021-07-21T18:06:05.636+01:00[Europe/London]","0.0","7.39"
"Services test","Create and Verify the services was added to the application","SUCCESS","2021-07-21T18:06:05.652+01:00[Europe/London]","0.0","7.47"
"Products test","Update products information and verify the updated information","SUCCESS","2021-07-21T18:06:13.086+01:00[Europe/London]","0.0","0.17"
"Categories test","Update categories information and verify the updated information","SUCCESS","2021-07-21T18:06:13.148+01:00[Europe/London]","0.0","0.14"
"Services test","Update services information and verify the updated information","SUCCESS","2021-07-21T18:06:13.164+01:00[Europe/London]","0.0","0.16"
"Products test","Update product information with patch and verify it","SUCCESS","2021-07-21T18:06:13.258+01:00[Europe/London]","0.0","0.09"
"Categories test","Update categories information with patch request and verify the updated information","SUCCESS","2021-07-21T18:06:13.289+01:00[Europe/London]","0.0","0.08"
"Services test","Delete services information with id and verify it","SUCCESS","2021-07-21T18:06:13.320+01:00[Europe/London]","0.0","0.21"
"Categories test","Delete categories information with id and verify it","SUCCESS","2021-07-21T18:06:13.367+01:00[Europe/London]","0.0","0.16"
"Products test","Delete products information with id and verify it","SUCCESS","2021-07-21T18:06:13.367+01:00[Europe/London]","0.0","0.19"
"Services test","This will create new services","SUCCESS","2021-07-21T18:06:13.526+01:00[Europe/London]","0.0","0.08"
"Categories test","This will create new categories","SUCCESS","2021-07-21T18:06:13.526+01:00[Europe/London]","0.0","0.1"
"Products test","This will create new product","SUCCESS","2021-07-21T18:06:13.566+01:00[Europe/London]","0.0","0.08"
"Services test","This will get all services","SUCCESS","2021-07-21T18:06:13.614+01:00[Europe/London]","0.0","0.09"
"Categories test","This will get all categories","SUCCESS","2021-07-21T18:06:13.630+01:00[Europe/London]","0.0","0.3"
"Products test","This will get all products","SUCCESS","2021-07-21T18:06:13.646+01:00[Europe/London]","0.0","0.33"
"Services test","This will get single services with id","SUCCESS","2021-07-21T18:06:13.702+01:00[Europe/London]","0.0","0.2"
"Services test","This will get services with parameters","SUCCESS","2021-07-21T18:06:13.910+01:00[Europe/London]","0.0","0.22"
"Categories test","This will get single categories with id","SUCCESS","2021-07-21T18:06:13.942+01:00[Europe/London]","0.0","0.09"
"Products test","This will get single product with id","SUCCESS","2021-07-21T18:06:13.974+01:00[Europe/London]","0.0","0.06"
"Categories test","This will get categories with parameters","SUCCESS","2021-07-21T18:06:14.030+01:00[Europe/London]","0.0","0.52"
"Products test","This will get products with parameters","SUCCESS","2021-07-21T18:06:14.046+01:00[Europe/London]","0.0","0.52"
"Stores test","Create and Verify the stores was added to the application","SUCCESS","2021-07-21T18:06:15.801+01:00[Europe/London]","0.0","0.07"
"Stores test","Update stores information and verify updated information","SUCCESS","2021-07-21T18:06:15.873+01:00[Europe/London]","0.0","0.05"
"Stores test","Update stores information with patch request and verify information","SUCCESS","2021-07-21T18:06:15.921+01:00[Europe/London]","0.0","0.11"
"Stores test","This will delete the stores information","SUCCESS","2021-07-21T18:06:16.033+01:00[Europe/London]","0.0","0.09"
"Stores test","Create new store","SUCCESS","2021-07-21T18:06:16.121+01:00[Europe/London]","0.0","0.06"
"Stores test","This will get all stores information","SUCCESS","2021-07-21T18:06:16.185+01:00[Europe/London]","0.0","0.06"
"Stores test","This will get single stores information","SUCCESS","2021-07-21T18:06:16.249+01:00[Europe/London]","0.0","0.02"
"Stores test","This will get stores information with parameters limit and skip","SUCCESS","2021-07-21T18:06:16.273+01:00[Europe/London]","0.0","0.03"
